"Frekvens","Allokering","Bruk"
"22.21 - 22.5 GHz (5.149 | 5.532 | ECA17A)","Earth Exploration-Satellite (passive)  | FIXED  | Mobile  | MOBILE EXCEPT AERONAUTICAL MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Fixed | PMSE | Passive sensors (satellite) | Radio astronomy | SRR"
"22.5 - 22.55 GHz (ECA17A)","FIXED  | MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Fixed | PMSE | Radio astronomy | SRR"
"22.55 - 23.15 GHz (ECA17A)","FIXED  | INTER-SATELLITE (5.338A) | MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Fixed | PMSE | Radio astronomy | SRR"
"23.15 - 23.55 GHz","FIXED  | INTER-SATELLITE (5.338A) | MOBILE","Fixed | PMSE | SRR"
"23.55 - 23.6 GHz","FIXED  | INTER-SATELLITE  | MOBILE","Fixed | PMSE | SRR"
"23.6 - 24 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy | SRR"
"24 - 24.05 GHz (5.150)","AMATEUR  | AMATEUR-SATELLITE","Amateur | Amateur-satellite | ISM | Non-specific SRDs | PMSE | SRR"
"24.05 - 24.25 GHz (5.150 | ECA36)","Amateur  | Earth Exploration-Satellite (active)  | Fixed  | Mobile  | RADIOLOCATION","Active sensors (satellite) | Amateur | ISM | Non-specific SRDs | PMSE | Radiodetermination applications | Radiolocation (military) | SRR | TTT"
"24.25 - 24.45 GHz (ECA17A)","FIXED  | MOBILE","Fixed | PMSE | Radiodetermination applications | SRR | TTT"
"24.45 - 24.5 GHz (ECA17A)","FIXED  | MOBILE","Fixed | PMSE | Radiodetermination applications | SRR | TTT"
"24.5 - 24.65 GHz","FIXED","BFWA | Fixed | Radiodetermination applications | SRR"
"24.65 - 24.75 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.532B)","BFWA | Fixed | Radiodetermination applications | SRR"
"24.75 - 25.25 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.532B)","BFWA | Fixed | Radiodetermination applications | SRR"
"25.25 - 25.5 GHz (ECA36)","FIXED  | INTER-SATELLITE (5.536) | MOBILE","Aeronautical military systems | BFWA | Fixed | Land military systems | Maritime military systems | Radiodetermination applications | SRR"
"25.5 - 26.5 GHz (5.536A | ECA36)","Earth Exploration-Satellite (space-to-Earth) (5.536B) | FIXED  | INTER-SATELLITE (5.536) | MOBILE  | SPACE RESEARCH (SPACE-TO-EARTH) (5.536C)","BFWA | Fixed | Radiodetermination applications | SRR | Space research"
"26.5 - 27 GHz (5.536A | ECA36)","Earth Exploration-Satellite (space-to-Earth) (5.536B) | FIXED  | INTER-SATELLITE (5.536) | MOBILE  | SPACE RESEARCH (SPACE-TO-EARTH) (5.536C)","Land military systems | Radiodetermination applications | SRR | Space research"
"27 - 27.5 GHz (ECA36)","Earth Exploration-Satellite (space-to-Earth)  | FIXED  | INTER-SATELLITE (5.536) | MOBILE","Land military systems"
"27.5 - 28.5 GHz (5.538 | 5.540)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.539 | 5.539 | 5.539)","BFWA | FSS Earth stations | Feeder links | Fixed | GSO ESOMPs | NGSO ESOMPs"
"28.5 - 29.1 GHz (5.540)","Earth Exploration-Satellite (Earth-to-space) (5.541) | FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.523A | 5.523A | 5.523A | 5.523A)","BFWA | FSS Earth stations | Feeder links | Fixed | GSO ESOMPs | NGSO ESOMPs"
"29.1 - 29.5 GHz (5.540)","Earth Exploration-Satellite (Earth-to-space) (5.541) | FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.523E | 5.523E | 5.523E | 5.523E | 5.523E | 5.523E)","BFWA | FSS Earth stations | Feeder links | Fixed | GSO ESOMPs"
"29.5 - 29.9 GHz (5.540)","Earth Exploration-Satellite (Earth-to-space) (5.541) | FIXED-SATELLITE (EARTH-TO-SPACE) (5.539 | 5.539 | 5.539 | 5.539 | 5.539) | Mobile-Satellite (Earth-to-space)","GSO ESOMPs | HEST | LEST | MSS Earth stations | NGSO ESOMPs | SIT/SUT"
"29.9 - 30 GHz (5.525 | 5.526 | 5.527 | 5.538 | 5.540)","EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE) (5.543 | 5.543) | FIXED-SATELLITE (EARTH-TO-SPACE) (5.539 | 5.539 | 5.539 | 5.539 | 5.539) | MOBILE-SATELLITE (EARTH-TO-SPACE)","FSS Earth stations | GSO ESOMPs | HEST | LEST | MSS Earth stations | NGSO ESOMPs | SIT/SUT"
"30 - 31 GHz (ECA36)","FIXED-SATELLITE (EARTH-TO-SPACE) (5.388A) | MOBILE-SATELLITE (EARTH-TO-SPACE)","FSS Earth stations | MSS Earth stations | Satellite systems (military)"
"31 - 31.3 GHz (5.149)","FIXED (5.338A) | MOBILE","Fixed | Radio astronomy"
"31.3 - 31.5 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"31.5 - 31.8 GHz (5.149 | 5.546)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | Fixed  | Mobile except aeronautical mobile  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Fixed | Passive sensors (satellite) | Radio astronomy"
"31.8 - 32 GHz (5.547 | 5.548)","FIXED (5.547A) | RADIONAVIGATION  | SPACE RESEARCH (DEEP SPACE) (SPACE-TO-EARTH)","Fixed"
"32 - 32.3 GHz (5.547 | 5.548)","FIXED (5.547A) | RADIONAVIGATION  | SPACE RESEARCH (DEEP SPACE) (SPACE-TO-EARTH)","Fixed"
"32.3 - 33 GHz (5.547 | 5.548)","FIXED (5.547A) | INTER-SATELLITE  | RADIONAVIGATION","Fixed"
"33 - 33.4 GHz (5.547)","FIXED (5.547A) | INTER-SATELLITE  | RADIONAVIGATION","Fixed"
"33.4 - 34.2 GHz (ECA36)","RADIOLOCATION","Radiodetermination applications | Radiolocation (military)"
"34.2 - 34.7 GHz (ECA36)","RADIOLOCATION  | SPACE RESEARCH (DEEP SPACE) (EARTH-TO-SPACE)","Radiodetermination applications | Radiolocation (military)"
"34.7 - 35.2 GHz (ECA36)","RADIOLOCATION  | Space Research","Radiodetermination applications | Radiolocation (military)"
"35.2 - 35.5 GHz (ECA36)","METEOROLOGICAL AIDS  | RADIOLOCATION","Active sensors (satellite) | Radiolocation (military)"
"35.5 - 36 GHz (5.549A | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | METEOROLOGICAL AIDS  | RADIOLOCATION  | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Radiolocation (military)"
"36 - 37 GHz (5.149 | 5.550A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | MOBILE  | Radio Astronomy  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"37 - 37.5 GHz (5.547)","FIXED  | SPACE RESEARCH (SPACE-TO-EARTH)","Fixed"
"37.5 - 38 GHz (5.547)","Earth Exploration-Satellite (space-to-Earth)  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | SPACE RESEARCH (SPACE-TO-EARTH)","FSS Earth stations | Fixed"
"38 - 39.5 GHz (5.547)","Earth Exploration-Satellite (space-to-Earth)  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)","FSS Earth stations | Fixed"
"39.5 - 40 GHz (5.547)","Earth Exploration-Satellite (space-to-Earth)  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B) | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH)","FSS Earth stations"
"40 - 40.5 GHz","Earth Exploration-Satellite (space-to-Earth)  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B) | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH)  | SPACE RESEARCH (EARTH-TO-SPACE)","FSS Earth stations"
"40.5 - 41 GHz (5.547)","BROADCASTING  | BROADCASTING-SATELLITE  | FIXED","FSS Earth stations | Fixed | MWS"
"41 - 42 GHz (5.547)","BROADCASTING  | BROADCASTING-SATELLITE  | FIXED","FSS Earth stations | Fixed | MWS"
"42 - 42.5 GHz (5.547 | 5.551H | 5.551I)","BROADCASTING  | BROADCASTING-SATELLITE  | FIXED","FSS Earth stations | Fixed | MWS"
"42.5 - 43.5 GHz (5.149 | 5.547)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.552) | MOBILE EXCEPT AERONAUTICAL MOBILE  | RADIO ASTRONOMY","FSS Earth stations | Fixed | MWS | Radio astronomy"
"43.5 - 45.5 GHz (5.554 | ECA36)","Fixed-Satellite  | MOBILE (5.553) | MOBILE-SATELLITE","Aeronautical military systems | Land military systems | Maritime military systems | Satellite systems (military)"
"45.5 - 47 GHz (5.554)","MOBILE (5.553) | MOBILE-SATELLITE  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","-"
"47 - 47.2 GHz","AMATEUR  | AMATEUR-SATELLITE","Amateur | Amateur-satellite"
"47.2 - 47.5 GHz (5.552A)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.552) | MOBILE","FSS Earth stations | Feeder links | HAPS | PMSE"
"47.5 - 47.9 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.552) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B | 5.516B) | MOBILE","FSS Earth stations | Feeder links | PMSE"
"47.9 - 48.2 GHz (5.552A)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.552) | MOBILE","FSS Earth stations | Feeder links | HAPS | PMSE"
"48.2 - 48.54 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.552) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B | 5.516B | 5.516B) | MOBILE","FSS Earth stations | Feeder links | Fixed | PMSE"
"48.54 - 49.44 GHz (5.149 | 5.340 | 5.555 | ECA17A)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.552) | MOBILE  | RADIO ASTRONOMY","FSS Earth stations | Feeder links | Fixed | PMSE | Radio astronomy"
"49.44 - 50.2 GHz (ECA17A)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.338A | 5.338A) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B | 5.516B | 5.516B) | MOBILE","FSS Earth stations | Fixed | PMSE"
"50.2 - 50.4 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"50.4 - 51.4 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.338A) | Mobile-Satellite (Earth-to-space)","- | Fixed"
"51.4 - 52.6 GHz (5.547 | 5.556)","FIXED (5.338A) | MOBILE  | RADIO ASTRONOMY","Fixed | Radio astronomy"
"52.6 - 54.25 GHz (5.340 | 5.556)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"54.25 - 55.78 GHz","EARTH EXPLORATION-SATELLITE (PASSIVE)  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite)"
"55.78 - 56.9 GHz (5.547 | 5.558)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED (5.557A) | INTER-SATELLITE (5.556A) | SPACE RESEARCH (PASSIVE)","Fixed | Passive sensors (satellite)"
"56.9 - 57 GHz (5.547 | 5.558A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | MOBILE (5.558) | SPACE RESEARCH (PASSIVE)","Fixed | Passive sensors (satellite)"
"57 - 58.2 GHz (5.547)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | INTER-SATELLITE (5.556A) | MOBILE (5.558) | SPACE RESEARCH (PASSIVE)","Fixed | Non-specific SRDs | Passive sensors (satellite) | Radiodetermination applications | Wideband data transmission systems"
"58.2 - 59 GHz (5.547 | 5.556 | ECA19 | ECA6)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Fixed | Non-specific SRDs | Passive sensors (satellite) | Radio astronomy | Radiodetermination applications | Wideband data transmission systems"
"59 - 59.3 GHz","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | INTER-SATELLITE (5.556A) | MOBILE (5.558) | RADIOLOCATION (5.559) | SPACE RESEARCH (PASSIVE)","Fixed | Non-specific SRDs | Passive sensors (satellite) | Radiodetermination applications | Wideband data transmission systems"
"59.3 - 62 GHz (5.138)","FIXED  | INTER-SATELLITE  | MOBILE (5.558) | RADIOLOCATION (5.559)","Fixed | ISM | Non-specific SRDs | Radiodetermination applications | Wideband data transmission systems"
"62 - 63 GHz","FIXED  | INTER-SATELLITE  | MOBILE (5.558) | RADIOLOCATION (5.559)","Fixed | Land mobile | Non-specific SRDs | Radiodetermination applications | Wideband data transmission systems"
"63 - 64 GHz","FIXED  | INTER-SATELLITE  | MOBILE (5.558) | RADIOLOCATION (5.559)","Fixed | ITS | Non-specific SRDs | Radiodetermination applications | Wideband data transmission systems"
"64 - 65 GHz (5.547 | 5.556)","FIXED  | INTER-SATELLITE  | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Radio astronomy | Wideband data transmission systems"
"65 - 66 GHz (5.547)","EARTH EXPLORATION-SATELLITE  | FIXED  | INTER-SATELLITE  | MOBILE EXCEPT AERONAUTICAL MOBILE  | SPACE RESEARCH","Fixed | Land mobile | Wideband data transmission systems"
"66 - 71 GHz (5.554)","INTER-SATELLITE  | MOBILE (5.553 | 5.553) | MOBILE-SATELLITE  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","-"
"71 - 74 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH)","Fixed"
"74 - 75.5 GHz (5.561)","BROADCASTING  | BROADCASTING-SATELLITE  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | Space Research (space-to-Earth)","Fixed | Radiodetermination applications | Space research"
"75.5 - 76 GHz (5.561 | ECA35)","Amateur  | Amateur-Satellite  | BROADCASTING  | BROADCASTING-SATELLITE  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)","Amateur | Amateur-satellite | Fixed | Radiodetermination applications | Space research"
"76 - 77.5 GHz (5.149)","Amateur  | Amateur-Satellite  | RADIO ASTRONOMY  | RADIOLOCATION  | Space Research (space-to-Earth)","Amateur | Amateur-satellite | Radio astronomy | Radiodetermination applications | Radiolocation (civil) | Railway applications | SRR | TTT"
"77.5 - 78 GHz (5.149)","AMATEUR  | AMATEUR-SATELLITE  | RADIOLOCATION (5.559B) | Space Research (space-to-Earth)","Amateur | Amateur-satellite | Radio astronomy | Radiodetermination applications | SRR"
"78 - 79 GHz (5.149 | 5.560)","Amateur  | Amateur-Satellite  | Radio Astronomy  | RADIOLOCATION  | Space Research (space-to-Earth)","Amateur | Amateur-satellite | Radio astronomy | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | SRR"
"79 - 81 GHz (5.149)","Amateur  | Amateur-Satellite  | RADIO ASTRONOMY  | RADIOLOCATION","Amateur | Amateur-satellite | Radio astronomy | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | SRR"
"81 - 84 GHz (5.149 | 5.561A)","FIXED (5.338A) | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE)  | RADIO ASTRONOMY  | Space Research (space-to-Earth)","Amateur | Amateur-satellite | Fixed | Radio astronomy | Radiodetermination applications"
"84 - 86 GHz (5.149)","FIXED (5.338A) | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE  | RADIO ASTRONOMY","Fixed | Radio astronomy | Radiodetermination applications"
"86 - 92 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"92 - 94 GHz (5.149)","FIXED (5.338A) | MOBILE  | RADIO ASTRONOMY  | RADIOLOCATION","Fixed | Radio astronomy"
"94 - 94.1 GHz (5.562 | 5.562A)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | Radio Astronomy  | RADIOLOCATION  | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Fixed | Radio astronomy | Space research"
"94.1 - 95 GHz (5.149)","FIXED  | MOBILE  | RADIO ASTRONOMY  | RADIOLOCATION","Fixed | Radio astronomy"
"95 - 100 GHz (5.149 | 5.554)","FIXED  | MOBILE  | RADIO ASTRONOMY  | RADIOLOCATION  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","Radio astronomy"
"100 - 102 GHz (5.340 | 5.341)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"102 - 105 GHz (5.149 | 5.341)","FIXED  | MOBILE  | RADIO ASTRONOMY","Radio astronomy"
"105 - 109.5 GHz (5.149 | 5.341)","FIXED  | MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE) (5.562B)","Radio astronomy"
"109.5 - 111.8 GHz (5.340 | 5.341)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Radio astronomy"
"111.8 - 114.25 GHz (5.149 | 5.341)","FIXED  | MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE) (5.562B)","Radio astronomy"
"114.25 - 116 GHz (5.340 | 5.341)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Radio astronomy"
"116 - 119.98 GHz (5.341)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | INTER-SATELLITE (5.562C)","Passive sensors (satellite)"
"119.98 - 120.02 GHz (5.341)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | INTER-SATELLITE (5.562C)","Passive sensors (satellite)"
"120.02 - 122.25 GHz (5.138)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | INTER-SATELLITE (5.562C) | SPACE RESEARCH (PASSIVE)","Non-specific SRDs | Passive sensors (satellite)"
"122.25 - 123 GHz (5.138)","Amateur  | Amateur-Satellite  | FIXED  | INTER-SATELLITE  | MOBILE (5.558)","Amateur | Amateur-satellite | Non-specific SRDs"
"123 - 126 GHz (5.554)","FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE-SATELLITE (SPACE-TO-EARTH)  | Radio Astronomy  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","Radio astronomy"
"126 - 130 GHz (5.149 | 5.554)","FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE-SATELLITE (SPACE-TO-EARTH)  | Radio Astronomy  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","Radio astronomy"
"130 - 134 GHz (5.149 | 5.562A)","EARTH EXPLORATION-SATELLITE (ACTIVE) (5.562E) | FIXED  | INTER-SATELLITE  | MOBILE (5.558) | RADIO ASTRONOMY","Radio astronomy"
"134 - 136 GHz","AMATEUR  | AMATEUR-SATELLITE  | Radio Astronomy","Amateur | Amateur-satellite | Radio astronomy"
"136 - 141 GHz (5.149)","Amateur  | Amateur-Satellite  | RADIO ASTRONOMY  | RADIOLOCATION","Amateur | Amateur-satellite | Radio astronomy"
"141 - 148.5 GHz (5.149)","FIXED  | MOBILE  | RADIO ASTRONOMY  | RADIOLOCATION","Radio astronomy"
"148.5 - 151.5 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"151.5 - 155.5 GHz (5.149)","FIXED  | MOBILE  | RADIO ASTRONOMY  | RADIOLOCATION","Radio astronomy"
"155.5 - 158.5 GHz (5.149 | 5.562F | 5.562G)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE) (5.562B)","Passive sensors (satellite) | Radio astronomy"
"158.5 - 164 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH)","-"
"164 - 167 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"167 - 168 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | INTER-SATELLITE  | MOBILE (5.558)","-"
"168 - 170 GHz (5.149)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | INTER-SATELLITE  | MOBILE (5.558)","Radio astronomy"
"170 - 174.5 GHz (5.149)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | INTER-SATELLITE  | MOBILE (5.558)","Radio astronomy"
"174.5 - 174.8 GHz","FIXED  | INTER-SATELLITE  | MOBILE (5.558)","-"
"174.8 - 182 GHz","EARTH EXPLORATION-SATELLITE (PASSIVE)  | INTER-SATELLITE (5.562H) | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite)"
"182 - 185 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"185 - 190 GHz","EARTH EXPLORATION-SATELLITE (PASSIVE)  | INTER-SATELLITE (5.562H) | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite)"
"190 - 191.8 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"191.8 - 200 GHz (5.149 | 5.341 | 5.554)","FIXED  | INTER-SATELLITE  | MOBILE (5.558) | MOBILE-SATELLITE  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","Radio astronomy"
"200 - 202 GHz (5.340 | 5.341 | 5.563A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Earth exploration-satellite | Radio astronomy"
"202 - 209 GHz (5.340 | 5.341 | 5.563A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Earth exploration-satellite | Radio astronomy"
"209 - 217 GHz (5.149 | 5.341)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE  | RADIO ASTRONOMY","Radio astronomy"
"217 - 226 GHz (5.149 | 5.341)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE) (5.562B)","Radio astronomy"
"226 - 231.5 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"231.5 - 232 GHz","FIXED  | MOBILE  | Radiolocation","-"
"232 - 235 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | Radiolocation","-"
"235 - 238 GHz (5.563A | 5.563B)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED-SATELLITE (SPACE-TO-EARTH)  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"238 - 240 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | RADIOLOCATION  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","-"
"240 - 241 GHz","FIXED  | MOBILE  | RADIOLOCATION","-"
"241 - 248 GHz (5.138 | 5.149)","Amateur  | Amateur-Satellite  | RADIO ASTRONOMY  | RADIOLOCATION","Amateur | Amateur-satellite | Non-specific SRDs | Radio astronomy"
"248 - 250 GHz (5.149)","AMATEUR  | AMATEUR-SATELLITE  | Radio Astronomy","Amateur | Amateur-satellite | Radio astronomy"
"250 - 252 GHz (5.340 | 5.563A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Earth exploration-satellite | Radio astronomy"
"252 - 265 GHz (5.149 | 5.554)","FIXED  | MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE)  | RADIO ASTRONOMY  | RADIONAVIGATION  | RADIONAVIGATION-SATELLITE","Radio astronomy"
"265 - 275 GHz (5.149 | 5.563A)","FIXED  | FIXED-SATELLITE  | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE  | RADIO ASTRONOMY","Radio astronomy"
"275 - 3000 GHz (5.565)","NOT ALLOCATED","-"
